tourney_id,Stack,mean_chip_ev,median_chip_ev,std_chip_ev,n_observations
641,500.0,28.776327460465176,-27.298778,409.84863376604574,76186
654,300.0,-175.746526,-155.390526,49.16302180548239,3
654,400.0,53.79535999999999,53.79535999999999,397.64664613762204,2
655,300.0,132.043464,58.627113,260.3468487595926,7
655,400.0,24.6286645,24.6286645,48.42413396537149,2
656,300.0,32.93794962072634,6.529074,216.08827526636026,61101
656,400.0,47.437634763005775,-1.343511,327.43507303696634,8131
656,500.0,98.87180489908256,31.191436,445.492408292695,763
657,300.0,25.281243540346104,0.3483665,212.4074687770172,163882
657,400.0,40.56584722898066,-5.530119,320.59234243555096,21504
657,500.0,63.08976514051184,-18.824618,443.8178150649207,2071
658,300.0,19.843071889063715,-4.1865,213.3214473175165,68003
658,400.0,29.76541054099084,-14.816905,314.9791302917985,9063
658,500.0,58.213842059859154,-16.617154,443.2943548590489,852
659,300.0,15.250988446940413,-6.821375,207.0469780641862,67264
659,400.0,22.14741138192854,-22.731397,311.5887631873907,8732
659,500.0,54.098987339140535,-24.692514,428.34647446763597,861
660,300.0,16.710931543164822,-6.680554,209.63340754358282,50145
660,400.0,27.049008328897624,-19.341481,315.05841733193165,6613
660,500.0,47.832037954968946,-7.3474655,422.47288527898013,644
661,300.0,11.602610314075632,-0.8919779999999999,216.62929428154337,952
661,400.0,4.55581219327731,-44.511778,367.63529626348986,119
661,500.0,-67.407541875,-125.81195299999999,499.55660713145676,8
662,500.0,81.13039199999997,81.13039199999997,821.8424818735932,2
663,500.0,73.77552696165192,22.574534,398.1774835259692,678
664,500.0,67.44030499008974,24.633558,387.8241066366391,257410
665,500.0,47.79187329227541,4.68676,379.1295840855417,537582
666,500.0,40.12506642242111,-5.088128,381.39769725240086,715736
667,500.0,35.91100556623958,-10.019719,382.9440603891456,520029
668,500.0,30.945385157893853,-13.4606225,377.32765170122457,238920
669,500.0,30.94983618178045,-13.861951,383.83616777510207,91561
